signal_id,symbol,es,at,residual,regime,final_state,mt5_ticket,timestamp_generated,timestamp_triggered,timestamp_submitted,timestamp_opened,timestamp_closed,pnl_points,pnl_money
SIG_20260616_150508_EURUSD,EURUSD,0.5853174603174603,0.9246031746031746,2.337363440996931e-05,DYNAMIC,GENERATED,,2026-06-16T15:05:08.654189,,,,,0.0,0.0
SIG_20260616_150609_EURJPY,EURJPY,0.3273809523809524,0.9146825396825397,1.0542470991729174e-05,DYNAMIC,GENERATED,,2026-06-16T15:06:09.469257,,,,,0.0,0.0
SIG_20260616_150609_USDJPY,USDJPY,0.8809523809523809,0.9503968253968254,1.4499139908632746e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:06:09.519320,2026-06-16T15:06:09.581347,,,,0.0,0.0
SIG_20260616_150609_GBPJPY,GBPJPY,0.6785714285714286,0.8908730158730159,1.9655150141463946e-05,DYNAMIC,GENERATED,,2026-06-16T15:06:09.685891,,,,,0.0,0.0
SIG_20260616_150609_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005912178580810825,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:06:09.747944,2026-06-16T15:06:09.816551,,,,0.0,0.0
SIG_20260616_150609_EURUSD,EURUSD,0.5853174603174603,0.9246031746031746,2.3366576841566896e-05,DYNAMIC,GENERATED,,2026-06-16T15:06:09.908614,,,,,0.0,0.0
SIG_20260616_150710_EURJPY,EURJPY,0.33134920634920634,0.9146825396825397,1.0571805359778504e-05,DYNAMIC,GENERATED,,2026-06-16T15:07:10.603360,,,,,0.0,0.0
SIG_20260616_150710_USDJPY,USDJPY,0.878968253968254,0.9503968253968254,1.4496144344970131e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:07:10.659551,2026-06-16T15:07:10.720137,,,,0.0,0.0
SIG_20260616_150710_GBPJPY,GBPJPY,0.6924603174603174,0.8908730158730159,1.9774207864552113e-05,DYNAMIC,GENERATED,,2026-06-16T15:07:10.820216,,,,,0.0,0.0
SIG_20260616_150710_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005908677979680988,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:07:10.868868,2026-06-16T15:07:10.935296,,,,0.0,0.0
SIG_20260616_150711_EURUSD,EURUSD,0.5853174603174603,0.9246031746031746,2.3327353360628724e-05,DYNAMIC,GENERATED,,2026-06-16T15:07:11.035784,,,,,0.0,0.0
SIG_20260616_150811_EURJPY,EURJPY,0.32341269841269843,0.9146825396825397,1.0508919250396264e-05,DYNAMIC,GENERATED,,2026-06-16T15:08:11.764096,,,,,0.0,0.0
SIG_20260616_150811_USDJPY,USDJPY,0.878968253968254,0.9503968253968254,1.449633886521065e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:08:11.813390,2026-06-16T15:08:11.870427,,,,0.0,0.0
SIG_20260616_150811_GBPJPY,GBPJPY,0.6904761904761905,0.8908730158730159,1.9757269016126887e-05,DYNAMIC,GENERATED,,2026-06-16T15:08:11.941761,,,,,0.0,0.0
SIG_20260616_150812_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005908505222521516,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:08:12.000722,2026-06-16T15:08:12.060206,,,,0.0,0.0
